,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
10,2017-12-09,Sat,16,Away,L 1–5,Stoke City,Tottenham,Y*,CB,90,1,0,0,0,2,2,0,0,32,1,1,2,0.2,0.2,0.0,1,0,11,13,1,5,0,0,0,189,74,4,6,5,5,1,1,0.0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0,9,0,13,21,8,3,3,5.0,1.0,0,0,0,1,6,1,13,0,0,0,20,0,12,11,0.1,0,0,0,0,0,9.4,8611,58.0,0,2017-12-09 15:00:00+00:00,09 Dec 15:00,0,0,90,0,0,1,0,4,16,0,47958,1,1,0,36.0,4,-766,917,1683,48,0,2017-12-09
11,2017-12-12,Tue,17,Away,L 0–1,Stoke City,Burnley,Y*,CB,90,0,0,0,0,0,0,0,0,49,2,1,0,0.0,0.0,0.0,2,0,22,35,3,13,0,0,0,417,275,5,9,14,19,2,6,0.0,0,1,1,0,34,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,1,1,0,0,10,0,7,24,22,3,0,27.0,11.0,0,0,0,0,13,1,35,0,0,0,15,0,11,22,0.5,0,0,0,0,2,2.3,9188,22.2,0,2017-12-12 19:45:00+00:00,12 Dec 19:45,0,0,90,0,0,0,0,6,17,0,49854,0,2,0,0.0,2,1643,2459,816,48,0,2017-12-12
12,2017-12-16,Sat,18,Home,L 0–3,Stoke City,West Ham,Y*,CB,90,0,0,0,0,4,0,1,0,37,3,0,0,0.6,0.6,0.0,0,0,13,23,3,14,0,0,0,275,209,5,7,5,9,3,7,0.0,0,3,0,0,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,4,1,0,0,5,0,5,17,14,6,6,81.0,35.0,0,0,1,0,19,1,24,0,1,0,5,0,6,16,0.4,0,0,0,0,1,4.8,9766,10.4,0,2017-12-16 16:00:00+00:00,16 Dec 16:00,0,0,90,0,0,0,0,2,18,0,51880,0,3,3,37.0,0,1775,2766,991,48,0,2017-12-16
13,2017-12-23,Sat,19,Home,W 3–1,Stoke City,West Brom,Y*,CB,90,0,0,0,0,0,0,0,0,46,3,1,1,0.0,0.0,0.0,0,0,14,28,0,7,0,0,0,323,109,4,7,7,13,3,6,0.0,0,0,0,0,27,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,1,0,12,0,11,34,12,0,0,20.0,15.0,0,0,0,0,11,0,31,0,0,0,12,0,12,15,0.0,0,0,0,0,0,3.2,10346,31.6,0,2017-12-23 15:00:00+00:00,23 Dec 15:00,0,0,90,0,0,0,0,2,19,0,55291,0,0,0,0.0,2,2963,5093,2130,48,0,2017-12-23
14,2017-12-26,Tue,20,Away,D 1–1,Stoke City,Huddersfield,Y*,CB,31,0,0,0,0,1,1,0,0,14,1,1,0,0.0,0.0,0.0,1,0,8,10,1,7,0,0,0,184,53,1,1,5,5,1,2,0.0,0,1,0,0,9,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,8,6,1,1,46.0,10.0,0,0,0,0,9,0,10,0,0,0,6,0,2,8,0.1,0,0,0,0,0,2.4,10931,6.6,0,2017-12-26 15:00:00+00:00,26 Dec 15:00,0,0,31,0,0,0,0,1,20,0,54731,0,1,0,17.0,1,-746,1255,2001,48,0,2017-12-26
15,2018-01-20,Sat,24,Home,W 2–0,Stoke City,Huddersfield,Y*,CB,90,0,0,0,0,1,0,0,0,43,2,0,1,0.1,0.1,0.0,0,0,22,34,3,8,0,1,1,366,238,10,15,11,14,1,3,0.0,0,1,0,0,32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,5,0,2,22,18,4,2,43.0,41.0,0,0,0,0,7,0,32,0,0,0,20,1,5,22,0.5,0,0,0,0,1,2.4,13293,12.4,0,2018-01-20 15:00:00+00:00,20 Jan 15:00,0,0,90,1,0,0,0,3,24,0,39130,0,1,1,11.0,6,-1336,101,1437,48,0,2018-01-20
16,2018-01-31,Wed,25,Home,D 0–0,Stoke City,Watford,Y*,CB,90,0,0,0,0,1,1,0,0,47,1,0,3,0.0,0.0,0.0,0,0,12,28,3,8,0,0,0,197,134,6,9,4,10,1,8,0.0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,1,11,0,9,24,21,2,1,42.0,21.0,0,0,0,0,6,0,24,0,0,2,26,1,18,10,0.1,0,0,0,0,1,5.4,13896,36.8,0,2018-01-31 20:00:00+00:00,31 Jan 20:00,0,0,90,0,0,0,0,1,25,0,43727,0,0,0,17.0,8,4291,5377,1086,48,0,2018-01-31
17,2018-02-03,Sat,26,Away,L 1–2,Stoke City,Bournemouth,Y*,CB,90,0,0,0,0,0,0,0,0,43,1,3,0,0.0,0.0,0.0,0,0,18,30,2,14,0,0,0,448,261,5,6,6,13,6,10,0.0,0,3,0,0,29,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,9,0,5,20,22,1,1,24.0,11.0,0,0,0,0,12,1,31,0,0,0,9,0,13,18,0.1,0,0,0,0,4,1.8,14509,15.4,0,2018-02-03 15:00:00+00:00,03 Feb 15:00,0,0,90,0,0,0,0,4,26,0,48759,0,0,0,2.0,1,4761,5993,1232,48,0,2018-02-03
18,2018-02-10,Sat,27,Home,D 1–1,Stoke City,Brighton,Y*,CB,90,0,0,0,0,0,0,0,0,59,0,2,0,0.0,0.0,0.0,0,0,30,44,3,24,1,0,0,577,242,8,12,19,25,3,6,0.0,0,1,0,0,43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,9,0,8,25,29,5,1,155.0,107.0,2,0,0,0,25,0,45,0,0,0,9,0,9,30,0.5,0,0,0,0,2,2.2,15134,19.0,0,2018-02-10 15:00:00+00:00,10 Feb 15:00,0,0,90,0,0,0,0,4,27,0,54580,0,0,0,2.0,2,5384,6861,1477,48,0,2018-02-10
19,2018-03-17,Sat,31,Home,L 1–2,Stoke City,Everton,Y*,CB,90,0,0,0,0,0,0,1,0,35,2,4,2,0.0,0.0,0.0,0,0,15,22,2,11,1,0,0,319,192,6,7,5,10,4,5,0.0,0,3,0,0,21,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,1,5,0,8,22,13,0,0,65.0,55.0,0,0,0,0,9,0,23,0,0,0,7,0,8,16,0.3,0,0,0,0,1,2.0,17462,19.8,0,2018-03-17 15:00:00+00:00,17 Mar 15:00,0,0,90,0,0,0,0,3,31,0,56129,0,0,0,0.0,0,609,1329,720,48,0,2018-03-17
20,2018-04-01,Sun,32,Away,L 0–3,Stoke City,Arsenal,Y*,CB,90,0,0,0,0,1,0,0,0,31,1,2,0,0.0,0.0,0.0,0,0,12,20,2,7,0,0,0,214,100,3,5,9,13,0,2,0.0,0,2,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,7,0,5,19,9,3,3,30.0,13.0,0,0,0,0,10,0,20,0,0,0,12,0,9,12,0.3,0,0,0,0,0,2.0,17925,11.2,0,2018-04-01 12:30:00+00:00,01 Apr 13:30,0,0,90,0,0,0,0,5,32,0,50407,0,1,1,8.0,1,-1623,85,1708,48,0,2018-04-01
21,2018-04-07,Sat,33,Home,L 1–2,Stoke City,Tottenham,Y*,CB,90,0,0,0,0,2,1,0,0,25,2,1,1,0.2,0.2,0.0,1,0,5,13,1,6,0,0,0,157,98,0,1,3,7,2,5,0.0,0,2,0,0,12,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,5,0,5,13,8,4,3,11.0,5.0,0,0,0,0,6,0,13,0,0,0,8,0,6,5,0.3,0,0,0,0,1,3.9,18562,13.0,0,2018-04-07 14:00:00+00:00,07 Apr 15:00,0,0,90,0,0,0,0,4,33,0,49571,0,0,1,26.0,1,-875,110,985,48,0,2018-04-07
22,2018-04-16,Mon,34,Away,D 1–1,Stoke City,West Ham,Y*,CB,90,0,0,0,0,0,0,0,0,45,1,1,1,0.0,0.0,0.0,0,0,16,24,1,12,0,0,0,355,146,4,5,7,10,4,8,0.0,0,2,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,17,0,17,31,13,1,1,46.0,31.0,0,0,0,0,15,0,24,0,0,0,13,0,18,16,0.2,0,0,0,0,2,3.3,19358,31.0,0,2018-04-16 19:00:00+00:00,16 Apr 20:00,0,0,90,0,0,0,0,1,34,0,48738,0,0,0,2.0,2,-626,282,908,48,0,2018-04-16
23,2018-04-22,Sun,35,Home,D 1–1,Stoke City,Burnley,Y*,CB,90,0,0,0,0,1,0,0,0,45,1,0,1,0.1,0.1,0.0,0,0,20,34,2,9,0,0,0,350,184,11,15,7,11,2,7,0.0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,3,28,17,1,1,61.0,27.0,0,0,0,0,11,0,33,0,0,0,11,0,9,20,0.1,0,0,0,0,0,2.5,19921,20.8,0,2018-04-22 12:30:00+00:00,22 Apr 13:30,0,0,90,0,0,0,0,6,35,0,51558,0,0,1,4.0,2,1028,1415,387,48,0,2018-04-22
24,2018-04-28,Sat,36,Away,D 0–0,Stoke City,Liverpool,Y*,CB,90,0,0,0,0,1,0,0,0,28,4,2,1,0.4,0.4,0.0,0,0,9,13,1,4,0,0,0,148,71,3,3,2,4,2,4,0.0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,2,0,1,0,9,0,11,18,9,1,1,6.0,1.0,0,0,0,0,3,0,12,0,1,0,19,1,11,8,0.2,0,0,0,0,1,3.4,20487,26.8,0,2018-04-28 11:30:00+00:00,28 Apr 12:30,0,0,90,0,0,0,0,5,36,0,49195,0,0,1,7.0,6,-928,106,1034,48,0,2018-04-28
25,2018-05-05,Sat,37,Home,L 1–2,Stoke City,Crystal Palace,Y*,CB,90,0,0,0,0,2,0,0,0,42,0,3,1,0.1,0.1,0.0,0,0,14,21,2,8,0,0,0,262,180,6,6,7,11,1,4,0.0,0,2,0,0,19,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,11,1,7,19,18,5,3,25.0,15.0,0,0,1,0,9,1,20,0,0,0,9,0,14,13,0.4,0,0,1,0,0,2.3,21331,12.6,0,2018-05-05 11:30:00+00:00,05 May 12:30,0,0,90,0,0,0,0,3,37,0,48861,0,0,2,10.0,1,-346,425,771,48,0,2018-05-05
26,2018-05-13,Sun,38,Away,W 2–1,Stoke City,Swansea City,Y*,CB,90,0,0,0,0,0,0,0,0,52,2,6,2,0.0,0.0,0.0,1,0,25,35,0,28,0,0,0,568,192,3,5,14,15,6,11,0.0,0,1,0,0,34,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,2,0,8,0,13,42,10,0,0,112.0,38.0,0,0,0,0,28,0,35,0,0,0,15,0,16,25,0.0,0,0,0,0,1,3.4,22151,34.0,0,2018-05-13 14:00:00+00:00,13 May 15:00,0,0,90,0,0,0,0,2,38,0,48678,0,0,0,0.0,2,-220,272,492,48,0,2018-05-13
